"Station","Date & Time (Summer)","Temperature (°C)"
"Yotvata 01/1999-06/2025","10-01-2021 06:00","14"
"Yotvata 01/1999-06/2025","10-01-2021 09:00","13.8"
"Yotvata 01/1999-06/2025","10-01-2021 12:00","20.8"
"Yotvata 01/1999-06/2025","10-01-2021 15:00","23.1"
"Yotvata 01/1999-06/2025","10-01-2021 18:00","21.4"
"Yotvata 01/1999-06/2025","10-01-2021 21:00","17.6"
"Yotvata 01/1999-06/2025","11-01-2021 00:00","15.9"
"Yotvata 01/1999-06/2025","11-01-2021 03:00","14.6"
"Yotvata 01/1999-06/2025","11-01-2021 06:00","14.1"
"Yotvata 01/1999-06/2025","11-01-2021 09:00","15.4"
"Yotvata 01/1999-06/2025","11-01-2021 12:00","21.2"
"Yotvata 01/1999-06/2025","11-01-2021 15:00","24.3"
"Yotvata 01/1999-06/2025","11-01-2021 18:00","22"
"Yotvata 01/1999-06/2025","11-01-2021 21:00","18.4"
"Yotvata 01/1999-06/2025","12-01-2021 00:00","15.9"
"Yotvata 01/1999-06/2025","12-01-2021 03:00","12.1"
"Yotvata 01/1999-06/2025","12-01-2021 06:00","15.7"
"Yotvata 01/1999-06/2025","12-01-2021 09:00","13.6"
"Yotvata 01/1999-06/2025","12-01-2021 12:00","24.9"
"Yotvata 01/1999-06/2025","12-01-2021 15:00","27.4"
"Yotvata 01/1999-06/2025","12-01-2021 18:00","23.6"
"Yotvata 01/1999-06/2025","12-01-2021 21:00","19.4"
"Yotvata 01/1999-06/2025","13-01-2021 00:00","14.4"
"Yotvata 01/1999-06/2025","13-01-2021 03:00","11.2"
"Yotvata 01/1999-06/2025","13-01-2021 06:00","10.4"
"Yotvata 01/1999-06/2025","13-01-2021 09:00","11.3"
"Yotvata 01/1999-06/2025","13-01-2021 12:00","20.1"
"Yotvata 01/1999-06/2025","13-01-2021 15:00","23.8"
"Yotvata 01/1999-06/2025","13-01-2021 18:00","23.6"
"Yotvata 01/1999-06/2025","13-01-2021 21:00","22.5"
"Yotvata 01/1999-06/2025","14-01-2021 00:00","21.9"
"Yotvata 01/1999-06/2025","14-01-2021 03:00","19.5"
"Yotvata 01/1999-06/2025","14-01-2021 06:00","17.6"
"Yotvata 01/1999-06/2025","14-01-2021 09:00","16.5"
"Yotvata 01/1999-06/2025","14-01-2021 12:00","19"
"Yotvata 01/1999-06/2025","14-01-2021 15:00","21.2"
"Yotvata 01/1999-06/2025","14-01-2021 18:00","18.9"
"Yotvata 01/1999-06/2025","14-01-2021 21:00","16.7"
"Yotvata 01/1999-06/2025","15-01-2021 00:00","15"
"Yotvata 01/1999-06/2025","15-01-2021 03:00","12.7"
"Yotvata 01/1999-06/2025","15-01-2021 06:00","9.6"
"Yotvata 01/1999-06/2025","15-01-2021 09:00","9.7"
"Yotvata 01/1999-06/2025","15-01-2021 12:00","17.9"
"Yotvata 01/1999-06/2025","15-01-2021 15:00","20"
"Yotvata 01/1999-06/2025","15-01-2021 18:00","18.7"
"Yotvata 01/1999-06/2025","15-01-2021 21:00","13.6"
"Yotvata 01/1999-06/2025","16-01-2021 00:00","11.5"
"Yotvata 01/1999-06/2025","16-01-2021 03:00","9.6"
"Yotvata 01/1999-06/2025","16-01-2021 06:00","8.3"
"Yotvata 01/1999-06/2025","16-01-2021 09:00","10.6"
"Yotvata 01/1999-06/2025","16-01-2021 12:00","17.4"
"Yotvata 01/1999-06/2025","16-01-2021 15:00","20.1"
"Yotvata 01/1999-06/2025","16-01-2021 18:00","19.6"
"Yotvata 01/1999-06/2025","16-01-2021 21:00","15.4"
"Yotvata 01/1999-06/2025","17-01-2021 00:00","11.8"
"Yotvata 01/1999-06/2025","17-01-2021 03:00","9.8"
"Yotvata 01/1999-06/2025","17-01-2021 06:00","9.6"
"Yotvata 01/1999-06/2025","17-01-2021 09:00","8.6"
"Yotvata 01/1999-06/2025","17-01-2021 12:00","19.8"
"Yotvata 01/1999-06/2025","17-01-2021 15:00","21.1"
"Yotvata 01/1999-06/2025","17-01-2021 18:00","20"
"Yotvata 01/1999-06/2025","17-01-2021 21:00","18.5"
"Yotvata 01/1999-06/2025","18-01-2021 00:00","16.6"
"Yotvata 01/1999-06/2025","18-01-2021 03:00","13.8"
"Yotvata 01/1999-06/2025","18-01-2021 06:00","11.7"
"Yotvata 01/1999-06/2025","18-01-2021 09:00","13.9"
"Yotvata 01/1999-06/2025","18-01-2021 12:00","17.9"
"Yotvata 01/1999-06/2025","18-01-2021 15:00","19.7"
"Yotvata 01/1999-06/2025","18-01-2021 18:00","17.7"
"Yotvata 01/1999-06/2025","18-01-2021 21:00","14.3"
"Yotvata 01/1999-06/2025","19-01-2021 00:00","10.8"
"Yotvata 01/1999-06/2025","19-01-2021 03:00","9.3"
"Yotvata 01/1999-06/2025","19-01-2021 06:00","6.8"
"Yotvata 01/1999-06/2025","19-01-2021 09:00","7.3"
"Yotvata 01/1999-06/2025","19-01-2021 12:00","17.4"
"Yotvata 01/1999-06/2025","19-01-2021 15:00","20"
"Yotvata 01/1999-06/2025","19-01-2021 18:00","18.9"
"Yotvata 01/1999-06/2025","19-01-2021 21:00","14.4"
"Yotvata 01/1999-06/2025","20-01-2021 00:00","15.6"
"Yotvata 01/1999-06/2025","20-01-2021 03:00","14.8"
"Yotvata 01/1999-06/2025","20-01-2021 06:00","11.9"
"Yotvata 01/1999-06/2025","20-01-2021 09:00","12.9"
"Yotvata 01/1999-06/2025","20-01-2021 12:00","14.6"
"Yotvata 01/1999-06/2025","20-01-2021 15:00","16.6"
"Yotvata 01/1999-06/2025","20-01-2021 18:00","15.3"
"Yotvata 01/1999-06/2025","20-01-2021 21:00","11.2"
"Yotvata 01/1999-06/2025","21-01-2021 00:00","6.9"
"Yotvata 01/1999-06/2025","21-01-2021 03:00","10.6"
"Yotvata 01/1999-06/2025","21-01-2021 06:00","6.8"
"Yotvata 01/1999-06/2025","21-01-2021 09:00","6.8"
"Yotvata 01/1999-06/2025","21-01-2021 12:00","14.9"
"Yotvata 01/1999-06/2025","21-01-2021 15:00","17.2"
"Yotvata 01/1999-06/2025","21-01-2021 18:00","15.1"
"Yotvata 01/1999-06/2025","21-01-2021 21:00","11"
"Yotvata 01/1999-06/2025","22-01-2021 00:00","10.2"
"Yotvata 01/1999-06/2025","22-01-2021 03:00","9.2"
"Yotvata 01/1999-06/2025","22-01-2021 06:00","8.5"
"Yotvata 01/1999-06/2025","22-01-2021 09:00","12.8"
"Yotvata 01/1999-06/2025","22-01-2021 12:00","17.4"
"Yotvata 01/1999-06/2025","22-01-2021 15:00","20.1"
"Yotvata 01/1999-06/2025","22-01-2021 18:00","19"
"Yotvata 01/1999-06/2025","22-01-2021 21:00","14.2"
"Yotvata 01/1999-06/2025","23-01-2021 00:00","12"
"Yotvata 01/1999-06/2025","23-01-2021 03:00","5.8"
"Yotvata 01/1999-06/2025","23-01-2021 06:00","4"
"Yotvata 01/1999-06/2025","23-01-2021 09:00","10.3"
"Yotvata 01/1999-06/2025","23-01-2021 12:00","16.4"
"Yotvata 01/1999-06/2025","23-01-2021 15:00","19.6"
"Yotvata 01/1999-06/2025","23-01-2021 18:00","17.4"
"Yotvata 01/1999-06/2025","23-01-2021 21:00","11"
"Yotvata 01/1999-06/2025","24-01-2021 00:00","8.6"
"Yotvata 01/1999-06/2025","24-01-2021 03:00","7.4"
"Yotvata 01/1999-06/2025","24-01-2021 06:00","4.9"
"Yotvata 01/1999-06/2025","24-01-2021 09:00","8.5"
"Yotvata 01/1999-06/2025","24-01-2021 12:00","16.2"
"Yotvata 01/1999-06/2025","24-01-2021 15:00","19.6"
"Yotvata 01/1999-06/2025","24-01-2021 18:00","18.1"
"Yotvata 01/1999-06/2025","24-01-2021 21:00","11.8"
"Yotvata 01/1999-06/2025","25-01-2021 00:00","10.2"
"Yotvata 01/1999-06/2025","25-01-2021 03:00","8"
"Yotvata 01/1999-06/2025","25-01-2021 06:00","7"
"Yotvata 01/1999-06/2025","25-01-2021 09:00","8.8"
"Yotvata 01/1999-06/2025","25-01-2021 12:00","15.5"
"Yotvata 01/1999-06/2025","25-01-2021 15:00","19.6"
"Yotvata 01/1999-06/2025","25-01-2021 18:00","18.5"
"Yotvata 01/1999-06/2025","25-01-2021 21:00","12.8"
"Yotvata 01/1999-06/2025","26-01-2021 00:00","11"
"Yotvata 01/1999-06/2025","26-01-2021 03:00","9.3"
"Yotvata 01/1999-06/2025","26-01-2021 06:00","7.3"
"Yotvata 01/1999-06/2025","26-01-2021 09:00","9.2"
"Yotvata 01/1999-06/2025","26-01-2021 12:00","16.8"
"Yotvata 01/1999-06/2025","26-01-2021 15:00","20"
"Yotvata 01/1999-06/2025","26-01-2021 18:00","18.3"
"Yotvata 01/1999-06/2025","26-01-2021 21:00","12.3"
"Yotvata 01/1999-06/2025","27-01-2021 00:00","10.2"
"Yotvata 01/1999-06/2025","27-01-2021 03:00","9.1"
"Yotvata 01/1999-06/2025","27-01-2021 06:00","10.4"
"Yotvata 01/1999-06/2025","27-01-2021 09:00","11.5"
"Yotvata 01/1999-06/2025","27-01-2021 12:00","18.5"
"Yotvata 01/1999-06/2025","27-01-2021 15:00","25.3"
"Yotvata 01/1999-06/2025","27-01-2021 18:00","23"
"Yotvata 01/1999-06/2025","27-01-2021 21:00","21.3"
"Yotvata 01/1999-06/2025","28-01-2021 00:00","13.8"
"Yotvata 01/1999-06/2025","28-01-2021 03:00","12.2"
"Yotvata 01/1999-06/2025","28-01-2021 06:00","12.7"
"Yotvata 01/1999-06/2025","28-01-2021 09:00","12.9"
"Yotvata 01/1999-06/2025","28-01-2021 12:00","17.7"
"Yotvata 01/1999-06/2025","28-01-2021 15:00","19.3"
"Yotvata 01/1999-06/2025","28-01-2021 18:00","18.9"
"Yotvata 01/1999-06/2025","28-01-2021 21:00","13.2"
"Yotvata 01/1999-06/2025","29-01-2021 00:00","9.9"
"Yotvata 01/1999-06/2025","29-01-2021 03:00","7.9"
"Yotvata 01/1999-06/2025","29-01-2021 06:00","7.1"
"Yotvata 01/1999-06/2025","29-01-2021 09:00","9"
"Yotvata 01/1999-06/2025","29-01-2021 12:00","16.4"
"Yotvata 01/1999-06/2025","29-01-2021 15:00","17.2"
"Yotvata 01/1999-06/2025","29-01-2021 18:00","16.8"
"Yotvata 01/1999-06/2025","29-01-2021 21:00","14.3"
"Yotvata 01/1999-06/2025","30-01-2021 00:00","10.4"
"Yotvata 01/1999-06/2025","30-01-2021 03:00","7.1"
"Yotvata 01/1999-06/2025","30-01-2021 06:00","3.7"
"Yotvata 01/1999-06/2025","30-01-2021 09:00","6.2"
"Yotvata 01/1999-06/2025","30-01-2021 12:00","15.3"
"Yotvata 01/1999-06/2025","30-01-2021 15:00","18.4"
"Yotvata 01/1999-06/2025","30-01-2021 18:00","18.2"
"Yotvata 01/1999-06/2025","30-01-2021 21:00","10.3"
"Yotvata 01/1999-06/2025","31-01-2021 00:00","7.1"
"Yotvata 01/1999-06/2025","31-01-2021 03:00","5.7"
"Yotvata 01/1999-06/2025","31-01-2021 06:00","3.8"
"Yotvata 01/1999-06/2025","31-01-2021 09:00","8.1"
"Yotvata 01/1999-06/2025","31-01-2021 12:00","19.3"
"Yotvata 01/1999-06/2025","31-01-2021 15:00","23.9"
"Yotvata 01/1999-06/2025","31-01-2021 18:00","23.1"
"Yotvata 01/1999-06/2025","31-01-2021 21:00","15.9"
"Yotvata 01/1999-06/2025","01-02-2021 00:00","13"
"Yotvata 01/1999-06/2025","01-02-2021 03:00","12.6"
"Yotvata 01/1999-06/2025","01-02-2021 06:00","12"
"Yotvata 01/1999-06/2025","01-02-2021 09:00","14.1"
"Yotvata 01/1999-06/2025","01-02-2021 12:00","21.7"
"Yotvata 01/1999-06/2025","01-02-2021 15:00","25.2"
"Yotvata 01/1999-06/2025","01-02-2021 18:00","22.6"
"Yotvata 01/1999-06/2025","01-02-2021 21:00","17.6"
"Yotvata 01/1999-06/2025","02-02-2021 00:00","15.3"
"Yotvata 01/1999-06/2025","02-02-2021 03:00","15.1"
"Yotvata 01/1999-06/2025","02-02-2021 06:00","14"
"Yotvata 01/1999-06/2025","02-02-2021 09:00","15.1"
"Yotvata 01/1999-06/2025","02-02-2021 12:00","23"
"Yotvata 01/1999-06/2025","02-02-2021 15:00","26.5"
"Yotvata 01/1999-06/2025","02-02-2021 18:00","24.8"
"Yotvata 01/1999-06/2025","02-02-2021 21:00","20.2"
"Yotvata 01/1999-06/2025","03-02-2021 00:00","18.1"
"Yotvata 01/1999-06/2025","03-02-2021 03:00","13.9"
"Yotvata 01/1999-06/2025","03-02-2021 06:00","12.1"
"Yotvata 01/1999-06/2025","03-02-2021 09:00","16"
"Yotvata 01/1999-06/2025","03-02-2021 12:00","24.5"
"Yotvata 01/1999-06/2025","03-02-2021 15:00","26.7"
"Yotvata 01/1999-06/2025","03-02-2021 18:00","25"
"Yotvata 01/1999-06/2025","03-02-2021 21:00","22.2"
"Yotvata 01/1999-06/2025","04-02-2021 00:00","19.3"
"Yotvata 01/1999-06/2025","04-02-2021 03:00","18"
"Yotvata 01/1999-06/2025","04-02-2021 06:00","15.4"
"Yotvata 01/1999-06/2025","04-02-2021 09:00","15"
"Yotvata 01/1999-06/2025","04-02-2021 12:00","20.4"
"Yotvata 01/1999-06/2025","04-02-2021 15:00","23.1"
"Yotvata 01/1999-06/2025","04-02-2021 18:00","22.2"
"Yotvata 01/1999-06/2025","04-02-2021 21:00","17.1"
"Yotvata 01/1999-06/2025","05-02-2021 00:00","14.6"
"Yotvata 01/1999-06/2025","05-02-2021 03:00","13.5"
"Yotvata 01/1999-06/2025","05-02-2021 06:00","14.5"
"Yotvata 01/1999-06/2025","05-02-2021 09:00","13.8"
"Yotvata 01/1999-06/2025","05-02-2021 12:00","14.9"
"Yotvata 01/1999-06/2025","05-02-2021 15:00","17.1"
"Yotvata 01/1999-06/2025","05-02-2021 18:00","17.2"
"Yotvata 01/1999-06/2025","05-02-2021 21:00","16.5"
"Yotvata 01/1999-06/2025","06-02-2021 00:00","16.7"
"Yotvata 01/1999-06/2025","06-02-2021 03:00","16.5"
"Yotvata 01/1999-06/2025","06-02-2021 06:00","15.9"
"Yotvata 01/1999-06/2025","06-02-2021 09:00","15.5"
"Yotvata 01/1999-06/2025","06-02-2021 12:00","18.5"
"Yotvata 01/1999-06/2025","06-02-2021 15:00","20.9"
"Yotvata 01/1999-06/2025","06-02-2021 18:00","20.4"
"Yotvata 01/1999-06/2025","06-02-2021 21:00","16.3"
"Yotvata 01/1999-06/2025","07-02-2021 00:00","13.5"
"Yotvata 01/1999-06/2025","07-02-2021 03:00","13"
"Yotvata 01/1999-06/2025","07-02-2021 06:00","12.1"
"Yotvata 01/1999-06/2025","07-02-2021 09:00","12.8"
"Yotvata 01/1999-06/2025","07-02-2021 12:00","18.5"
"Yotvata 01/1999-06/2025","07-02-2021 15:00","22.6"
"Yotvata 01/1999-06/2025","07-02-2021 18:00","21.8"
"Yotvata 01/1999-06/2025","07-02-2021 21:00","17.4"
"Yotvata 01/1999-06/2025","08-02-2021 00:00","13.9"
"Yotvata 01/1999-06/2025","08-02-2021 03:00","12.2"
"Yotvata 01/1999-06/2025","08-02-2021 06:00","10.2"
"Yotvata 01/1999-06/2025","08-02-2021 09:00","12.5"
"Yotvata 01/1999-06/2025","08-02-2021 12:00","20"
"Yotvata 01/1999-06/2025","08-02-2021 15:00","27.2"
"Yotvata 01/1999-06/2025","08-02-2021 18:00","27.1"
"Yotvata 01/1999-06/2025","08-02-2021 21:00","19.7"
"Yotvata 01/1999-06/2025","09-02-2021 00:00","16.9"
"Yotvata 01/1999-06/2025","09-02-2021 03:00","16.2"
"Yotvata 01/1999-06/2025","09-02-2021 06:00","13.7"
"Yotvata 01/1999-06/2025","09-02-2021 09:00","18.1"
"Yotvata 01/1999-06/2025","09-02-2021 12:00","23.2"
"Yotvata 01/1999-06/2025","09-02-2021 15:00","26.6"
"Yotvata 01/1999-06/2025","09-02-2021 18:00","24.6"
"Yotvata 01/1999-06/2025","09-02-2021 21:00","20.6"
"Yotvata 01/1999-06/2025","10-02-2021 00:00","18.4"
"Yotvata 01/1999-06/2025","10-02-2021 03:00","15.8"
"Yotvata 01/1999-06/2025","10-02-2021 06:00","12.6"
"Yotvata 01/1999-06/2025","10-02-2021 09:00","15.4"
"Yotvata 01/1999-06/2025","10-02-2021 12:00","22.3"
"Yotvata 01/1999-06/2025","10-02-2021 15:00","26.5"
"Yotvata 01/1999-06/2025","10-02-2021 18:00","26.2"
"Yotvata 01/1999-06/2025","10-02-2021 21:00","19.3"
"Yotvata 01/1999-06/2025","11-02-2021 00:00","17.1"
"Yotvata 01/1999-06/2025","11-02-2021 03:00","14.7"
"Yotvata 01/1999-06/2025","11-02-2021 06:00","12.6"
"Yotvata 01/1999-06/2025","11-02-2021 09:00","14.6"
"Yotvata 01/1999-06/2025","11-02-2021 12:00","19.8"
"Yotvata 01/1999-06/2025","11-02-2021 15:00","23.9"
"Yotvata 01/1999-06/2025","11-02-2021 18:00","22.5"
"Yotvata 01/1999-06/2025","11-02-2021 21:00","16.4"
"Yotvata 01/1999-06/2025","12-02-2021 00:00","13.9"
"Yotvata 01/1999-06/2025","12-02-2021 03:00","11.3"
"Yotvata 01/1999-06/2025","12-02-2021 06:00","11.9"
"Yotvata 01/1999-06/2025","12-02-2021 09:00","13.7"
"Yotvata 01/1999-06/2025","12-02-2021 12:00","21"
"Yotvata 01/1999-06/2025","12-02-2021 15:00","25.1"
"Yotvata 01/1999-06/2025","12-02-2021 18:00","23.9"
"Yotvata 01/1999-06/2025","12-02-2021 21:00","19.5"
"Yotvata 01/1999-06/2025","13-02-2021 00:00","15.3"
"Yotvata 01/1999-06/2025","13-02-2021 03:00","13.5"
"Yotvata 01/1999-06/2025","13-02-2021 06:00","11.7"
"Yotvata 01/1999-06/2025","13-02-2021 09:00","12.9"
"Yotvata 01/1999-06/2025","13-02-2021 12:00","18.8"
"Yotvata 01/1999-06/2025","13-02-2021 15:00","22.4"
"Yotvata 01/1999-06/2025","13-02-2021 18:00","21.1"
"Yotvata 01/1999-06/2025","13-02-2021 21:00","16.2"
"Yotvata 01/1999-06/2025","14-02-2021 00:00","13.9"
"Yotvata 01/1999-06/2025","14-02-2021 03:00","11.9"
"Yotvata 01/1999-06/2025","14-02-2021 06:00","10.7"
"Yotvata 01/1999-06/2025","14-02-2021 09:00","13.2"
"Yotvata 01/1999-06/2025","14-02-2021 12:00","19.9"
"Yotvata 01/1999-06/2025","14-02-2021 15:00","25.1"
"Yotvata 01/1999-06/2025","14-02-2021 18:00","25.5"
"Yotvata 01/1999-06/2025","14-02-2021 21:00","18.7"
"Yotvata 01/1999-06/2025","15-02-2021 00:00","16"
"Yotvata 01/1999-06/2025","15-02-2021 03:00","14.9"
"Yotvata 01/1999-06/2025","15-02-2021 06:00","12.6"
"Yotvata 01/1999-06/2025","15-02-2021 09:00","13.3"
"Yotvata 01/1999-06/2025","15-02-2021 12:00","18.8"
"Yotvata 01/1999-06/2025","15-02-2021 15:00","22.4"
"Yotvata 01/1999-06/2025","15-02-2021 18:00","22.3"
"Yotvata 01/1999-06/2025","15-02-2021 21:00","17.6"
"Yotvata 01/1999-06/2025","16-02-2021 00:00","15.2"
"Yotvata 01/1999-06/2025","16-02-2021 03:00","14.7"
"Yotvata 01/1999-06/2025","16-02-2021 06:00","13.3"
"Yotvata 01/1999-06/2025","16-02-2021 09:00","15.1"
"Yotvata 01/1999-06/2025","16-02-2021 12:00","19.3"
"Yotvata 01/1999-06/2025","16-02-2021 15:00","22.2"
"Yotvata 01/1999-06/2025","16-02-2021 18:00","20.8"
"Yotvata 01/1999-06/2025","16-02-2021 21:00","14.7"
"Yotvata 01/1999-06/2025","17-02-2021 00:00","13.2"
"Yotvata 01/1999-06/2025","17-02-2021 03:00","10.9"
"Yotvata 01/1999-06/2025","17-02-2021 06:00","10.4"
"Yotvata 01/1999-06/2025","17-02-2021 09:00","11"
"Yotvata 01/1999-06/2025","17-02-2021 12:00","12.8"
"Yotvata 01/1999-06/2025","17-02-2021 15:00","15.1"
"Yotvata 01/1999-06/2025","17-02-2021 18:00","13.6"
"Yotvata 01/1999-06/2025","17-02-2021 21:00","11.4"
"Yotvata 01/1999-06/2025","18-02-2021 00:00","10.2"
"Yotvata 01/1999-06/2025","18-02-2021 03:00","9.8"
"Yotvata 01/1999-06/2025","18-02-2021 06:00","10.4"
"Yotvata 01/1999-06/2025","18-02-2021 09:00","10.8"
"Yotvata 01/1999-06/2025","18-02-2021 12:00","14.6"
"Yotvata 01/1999-06/2025","18-02-2021 15:00","16.3"
"Yotvata 01/1999-06/2025","18-02-2021 18:00","16.1"
"Yotvata 01/1999-06/2025","18-02-2021 21:00","11.6"
"Yotvata 01/1999-06/2025","19-02-2021 00:00","10.8"
"Yotvata 01/1999-06/2025","19-02-2021 03:00","9.9"
"Yotvata 01/1999-06/2025","19-02-2021 06:00","6.1"
"Yotvata 01/1999-06/2025","19-02-2021 09:00","8.9"
"Yotvata 01/1999-06/2025","19-02-2021 12:00","16.6"
"Yotvata 01/1999-06/2025","19-02-2021 15:00","18.9"
"Yotvata 01/1999-06/2025","19-02-2021 18:00","18.4"
"Yotvata 01/1999-06/2025","19-02-2021 21:00","16.3"
"Yotvata 01/1999-06/2025","20-02-2021 00:00","13.5"
"Yotvata 01/1999-06/2025","20-02-2021 03:00","9.8"
"Yotvata 01/1999-06/2025","20-02-2021 06:00","8.1"
"Yotvata 01/1999-06/2025","20-02-2021 09:00","11.1"
"Yotvata 01/1999-06/2025","20-02-2021 12:00","16.6"
"Yotvata 01/1999-06/2025","20-02-2021 15:00","18.7"
"Yotvata 01/1999-06/2025","20-02-2021 18:00","18.2"
"Yotvata 01/1999-06/2025","20-02-2021 21:00","14.7"
"Yotvata 01/1999-06/2025","21-02-2021 00:00","11.1"
"Yotvata 01/1999-06/2025","21-02-2021 03:00","9.8"
"Yotvata 01/1999-06/2025","21-02-2021 06:00","9"
"Yotvata 01/1999-06/2025","21-02-2021 09:00","10.8"
"Yotvata 01/1999-06/2025","21-02-2021 12:00","16.9"
"Yotvata 01/1999-06/2025","21-02-2021 15:00","20"
"Yotvata 01/1999-06/2025","21-02-2021 18:00","19.1"
"Yotvata 01/1999-06/2025","21-02-2021 21:00","14.2"
"Yotvata 01/1999-06/2025","22-02-2021 00:00","11.4"
"Yotvata 01/1999-06/2025","22-02-2021 03:00","8.4"
"Yotvata 01/1999-06/2025","22-02-2021 06:00","7.5"
"Yotvata 01/1999-06/2025","22-02-2021 09:00","11"
"Yotvata 01/1999-06/2025","22-02-2021 12:00","16.8"
"Yotvata 01/1999-06/2025","22-02-2021 15:00","19.7"
"Yotvata 01/1999-06/2025","22-02-2021 18:00","19.5"
"Yotvata 01/1999-06/2025","22-02-2021 21:00","15.5"
"Yotvata 01/1999-06/2025","23-02-2021 00:00","11.7"
"Yotvata 01/1999-06/2025","23-02-2021 03:00","13.2"
